#	TaxonID	TaxonRank	ScientificName	Author	VernacularFI	AlternativeFI	VernacularEN	AlternativeEN
		heimo	Trichomycteridae	Bleeker, 1858	loismonnit		Pencil catfishes	Parasitic catfishes
		heimo	Callichthyidae	Bonaparte, 1835	panssarimonnit		Callichthyid armored catfishes
		heimo	Loricariidae	Rafinesque, 1815	imumonnit		Armored catfishes
		heimo	Scoloplacidae	Bailey & Baskin, 1976	karttumonnit		Spiny dwarf catfishes
		heimo	Astroblepidae	Bleeker, 1862	kiipijämonnit		climbing catfishes
		alalahko	Diplomystoidei		alkumonnikalat		
		heimo	Diplomystidae	Eigenmann, 1890	alkumonnit		Velvet catfishes
		alalahko	Siluroidei		monnikalat		
		heimo	Cetopsidae	Bleeker, 1858	valasmonnit		Whale catfishes
		heimo	Chacidae	Bleeker, 1858	kitamonnit		Squarehead catfish	Angler catfish
	MX.5014775	heimo	Plotosidae	Bleeker, 1858	korallimonnit		Eeltail catfishes
		heimo	Ailiidae	Bleeker, 1858	sillimonnit		Asian schilbeids
		heimo	Horabagridae	Jayaram, 2006	keisarimonnit		imperial catfishes
		heimo	Bagridae	Bleeker, 1858	juovamonnit		Bagrid catfishes
		heimo	Akysidae	Gill, 1861	jokimonnit		Stream catfishes
		heimo	Amblycipitidae	Day, 1873	sukkulamonnit		Torrent catfishes
		heimo	Sisoridae	Bleeker, 1858	koskimonnit		Sisorid catfishes
		heimo	Pangasiidae	Bleeker, 1858	haimonnit		Shark catfishes
	MX.53176	heimo	Siluridae	Rafinesque, 1815	monnit		Sheatfishes
		heimo	Kryptoglanidae	Britz, Kakkassery, Raghavan, 2014	intianluolamonnit		
		heimo	Aspredinidae	Adams, 1854	banjomonnit		Banjo catfishes
		heimo	Auchenipteridae	Bleeker, 1862	nahkamonnit		Driftwood catfishes
		heimo	Doradidae	Bleeker, 1858	okamonnit		Thorny catfishes
		heimo	Heptapteridae	Gill, 1861	pimelot		Three-barbeled catfishes
		heimo	Phreatobiidae	Reichel, 1927	nuolimonnit		cistern catfishes
		heimo	Pimelodidae	Bonaparte, 1835	antennimonnit		Long-whiskered catfishes
		heimo	Pseudopimelodidae	Fernández-Yépez & Anton, 1966	mehiläismonnit		Bumblebee catfishes
		heimo	Clariidae	Bonaparte, 1845	ankeriasmonnit		Airbreathing catfishes
		heimo	Heteropneustidae	Hora, 1936	keuhkomonnit		Airsac catfishes
		heimo	Ariidae	Bleeker, 1858	merimonnit		Sea catfishes
		heimo	Anchariidae	Glaw & Vences, 1994	madagaskarinmonnit		Malagasy catfishes
		heimo	Austroglanididae	Mo, 1991	buurimonnit		Austroglanids
		heimo	Cranoglanididae	Myers, 1931	kuonomonnit		armorhead catfishes
	MX.53179	heimo	Ictaluridae	Gill, 1861	piikkimonnit		North American freshwater catfishes
		heimo	Lacantuniidae	Rodiles-Hernández, Hendrickson, Lundberg, 2005	latuskamonnit		Chiapas catfishes
		heimo	Amphiliidae	Regan, 1911	imuevämonnit		Loach catfishes
		heimo	Malapteruridae	Bleeker, 1858	sähkömonnit		Electric catfishes
		heimo	Mochokidae	Regan, 1912	ripsimonnit		upside-down catfishes
		heimo	Claroteidae	Bleeker, 1862	kissamonnit		Claroteid catfishes
		heimo	Schilbeidae	Bleeker, 1858	kuultomonnit		Schilbid catfishes
35		lahko	Lepidogalaxiiformes		salamanterikalat		
		heimo	Lepidogalaxiidae	Rosen, 1974	salamanterimeltit		Salamanderfishes
36	MX.70278	lahko	Argentiniformes		hopeakuorekalat		
		heimo	Argentinidae	Bonaparte, 1846	hopeakuoreet	sillikuoreet	Argentines	Herring smelts
		heimo	Microstomatidae	Bleeker, 1859	puikkokuoreet		Pencil smelts
		heimo	Bathylagidae	Gill, 1884	syvännekuoreet		Deep-sea smelts
		heimo	Opisthoproctidae	Schmidt, 1918	kiikarikalat		Barreleyes	Spookfishes
37		lahko	Galaxiiformes		melttikalat		
		heimo	Galaxiidae	Müller, 1845	meltit		Galaxiids
38	MX.70283	lahko	Esociformes		haukikalat		Pikes and mudminnows
	MX.53116	heimo	Esocidae	Rafinesque, 1815	hauet		Pikes
		heimo	Umbridae	Bonaparte, 1845	koirakalat		Mudminnows
39	MX.53115	lahko	Salmoniformes		lohikalat		
	MX.53298	heimo	Salmonidae	Jarocki, 1822	lohet		Salmonids
	MX.53611	alaheimo	Coregoninae	Bonaparte, 1845	siiat		
	MX.323498	alaheimo	Thymallinae	Gill, 1885	harjukset		
	MX.323497	alaheimo	Salmoninae	Jarocki, 1822	lohet		
40	MX.211615	lahko	Osmeriformes		kuorekalat		Smelts and their allies
	MX.53302	heimo	Osmeridae	Regan, 1913	kuoreet		Smelts
		heimo	Plecoglossidae	Bleeker, 1859	ajut		Ayu fish
		heimo	Salangidae	Bleeker, 1859	lasikuoreet		Icefishes	Noodlefishes
		heimo	Retropinnidae	Gill, 1862	talkameltit		New Zealand smelts
41	MX.70289	lahko	Stomiiformes		sukasuukalat		Dragonfishes and allies
		heimo	Gonostomatidae	Cocco, 1838	sukasuut		Bristlemouths
		heimo	Sternoptychidae	Duméril, 1805	lättäkalat		Marine hatchetfishes
		heimo	Phosichthyidae	Weitzman, 1974	lyhtykalat		Lightfishes
		heimo	Stomiidae	Bleeker, 1859	kitakalat		Barbeled dragonfishes
42		lahko	Ateleopodiformes		nuijapääkalat		Jellynose fishes
		heimo	Ateleopodidae	Bonaparte, 1850	nuijapäät		Jellynose fishes
43	MX.70279	lahko	Aulopiformes		auloppikalat		Lizardfishes and allies
		alalahko	Aulopoidei				
		heimo	Aulopidae	Bonaparte, 1831	aulopit		Aulopus
		alalahko	Chlorophthalmoidei				
		heimo	Chlorophthalmidae	Garman, 1899	vihersilmät		Greeneyes
		heimo	Paraulopidae	Sato & Nakabo, 2002	kurkkuaulopit		Cucumber fishes
		heimo	Ipnopidae	Gill, 1884	levysilmät		Deep-sea tripod fishes
		heimo	Bathysauroididae	Sato & Nakabo, 2002	suomuliskokalat		Largescale deeps, Lizardfishes
		heimo	Scopelarchidae	Alcock, 1896	helmisilmät		Pearleyes
		heimo	Notosudidae	Parr, 1928	liskosilmät		Waryfishes
		alalahko	Giganturoidei				
		heimo	Giganturidae	Brauer, 1906	teleskooppikalat		Telescopefishes
		alalahko	Alepisauroidei				
		heimo	Synodontidae	Gill, 1861	liskokalat		Lizardfishes
		heimo	Bathysauridae	Fowler, 1944	syvänneliskokalat		Deepsea lizardfishes
		heimo	Paralepididae	Bonaparte, 1835	barrakudinat		Barracudinas
		heimo	Anotopteridae	Zugmayer, 1911	keihäskalat		Daggertooth
		heimo	Evermannellidae	Fowler, 1901	sapelileuat		Sabertooth fishes
		heimo	Omosudidae	Regan, 1911	naskalileuat		Hammerjaws
		heimo	Alepisauridae	Swainson, 1839	purjeliskokalat		Lancetfishes
		heimo	Pseudotrichonotidae	Yoshino & Araga, 1975	valeliskokalat		Sand diving lizardfishes
