TaxonID	#	rank	taxon	author	vernacularFI	obsoleteFI
MX.5087744		suku	Centroselachus	Garman, 1913				
MX.5087745			Centroselachus crepidater 	Barbosa du Bocage & Brito Capello, 1864 	kuonosamettihai			
MX.5087740		suku	Centroscymnus	Barbosa du Bocage & de Brito Capello, 1864				
MX.5087743			Centroscymnus owstonii 	Garman, 1906 	mustasusihai			
MX.5087746		suku	Scymnodalatias	Garrick, 1956				
MX.5087747			Scymnodalatias garricki 	Kukuyev & Konovalenko, 1988 	azoriensusihai			
MX.5087748		suku	Scymnodon	Barbosa du Bocage & de Brito Capello, 1864				
MX.5087749			Scymnodon ringens 	Barbosa du Bocage & Brito Capello, 1864 	piikkihammashai			
MX.5087750		suku	Somniosus	Lesueur, 1818				
MX.5087751			Somniosus microcephalus 	Bloch & Schneider, 1801 	holkeri			
			Somniosus pacificus 	Bigelow & Schroeder, 1944 	tyynenmerenholkeri			
