TaxonID	#	rank	taxon	author	vernacularFI	obsoleteFI
			Cephalocassis borneensis	(Bleeker, 1851)	borneonmerimonni			
		suku	Cinetodus	Ogilby, 1898				
			Cinetodus crassilabris 	(Ramsay & Ogilby, 1886)	huulimerimonni			
		suku	Cochlefelis	Whitley, 1941				
			Cochlefelis burmanicus 	(Day, 1870) 	burmanmerimonni			
		suku	Doiichthys	Weber, 1913				
			Doiichthys (Nedystoma) novaeguineae 	Weber, 1913	pikkumerimonni			
		suku	Ketengus	Bleeker, 1847				
			Ketengus typus	Bleeker, 1847	haimerimonni			
		suku	Neoarius	Castelnau, 1878				
			Neoarius graeffei 	(Kner & Steindachner, 1867) 	platinamerimonni			
		suku	Netuma	Bleeker, 1858				
			Netuma thalassina 	(Rüppell, 1837) 	jättimerimonni			
		suku	Potamosilurus	Marceniuk & Menezes, 2007				
			Potamosilurus macrorhynchus	(Weber, 1913)	hohdemerimonni			
			Potamosilurus velutinus 	(Weber, 1907)	hurmemerimonni			
		suku	Bagre	Cloquet, 1816				
			Bagre bagre 	(Linnaeus, 1766)	viirimerimonni			
MX.5086495		heimo	Anchariidae		madagaskarinmonnit			
		suku	Ancharius	Steindachner, 1880				
			Ancharius fuscus 	Steindachner, 1880	ruskosaarimonni	ruskomadagaskarinmonni		
MX.5086496		heimo	Austroglanididae		buurimonnit			
		suku	Austroglanis	Skelton, Risch & de Vos, 1984				
			Austroglanis barnardi 	(Skelton, 1981) 	kivikobuurimonni			
			Austroglanis gilli 	(Barnard, 1943) 	virtabuurimonni			
			Austroglanis sclateri 	(Boulenger, 1901)	buurimonni			
MX.5086497		heimo	Cranoglanididae		kuonomonit 			
		suku	Cranoglanis	Peters, 1881				
			Cranoglanis bouderius	(Richardson, 1846)	kuonomonni			
MX.53179		heimo	Ictaluridae		piikkimonnit			
MX.206826		suku	Ameiurus	Rafinesque, 1820				
			Ameiurus catus 	(Linnaeus, 1758) 	valkopiikkimonni			
MX.5084366			Ameiurus melas 	(Rafinesque, 1820) 	mustapiikkimonni			
MX.5088614			Ameiurus natalis 	(Lesueur, 1819) 	keltapiikkimonni			
MX.53181			Ameiurus nebulosus 	(Lesueur, 1819) 	piikkimonni			
MX.53180		suku	Ictalurus	Rafinesque, 1820				
			Ictalurus furcatus 	(Valenciennes, 1840) 	sinipiikkimonni			
MX.5088615			Ictalurus punctatus 	(Rafinesque, 1818) 	pilkkupiikkimonni			
		suku	Noturus	Rafinesque, 1818				
			Noturus gyrinus 	(Mitchill, 1817) 	kivimonni			
		suku	Prietella	Carranza, 1954				
			Prietella phreatophila 	Carranza, 1954 	kätköpiikkimonni			
		suku	Pylodictis	Rafinesque, 1819				
			Pylodictis olivaris	(Rafinesque, 1818)	lättäpiikkimonni			
		suku	Satan	Hubbs & Bailey, 1947				
			Satan eurystomus	Hubbs & Bailey, 1947	luolapiikkimonni			
		suku	Trogloglanis	Eigenmann, 1919				
			Trogloglanis pattersoni	Eigenmann, 1919	sokkopiikkimonni			
MX.5086498		heimo	Lacantuniidae		latuskamonnit			
		suku	Lacantunia	Rodiles-Hernández, Hendrickson & Lundberg, 2005				
			Lacantunia enigmatica	Rodiles-Hernández, Hendrickson & Lundberg, 2005	latuskamonni			
MX.5086499		heimo	Amphiliidae		imuevämonnit			
		suku	Amphilius	Günther, 1864				
			Amphilius atesuensis 	Boulenger, 1904	ghananimuevä			
			Amphilius jacksonii 	Boulenger, 1912 	klovni-imuevä			
			Amphilius kakrimensis 	Teugels, Skelton & Lévêque, 1987	guineanimuevä			
			Amphilius longirostris 	(Boulenger, 1901)	kuonoimuevä			
			Amphilius natalensis	Boulenger, 1917	sambesinimuevä			
			Amphilius pulcher 	Pellegrin, 1929	koruimuevä			
			Amphilius uranoscopus 	(Pfeffer, 1889) 	ruskoimuevä			
			Amphilius zairensis	Skelton, 1986	zairenimuevä			
		suku	Andersonia	Boulenger, 1900				
			Andersonia leptura	Boulenger, 1900	pikkuimuevä			
		suku	Belonoglanis	Boulenger, 1902				
			Belonoglanis brieni 	Poll, 1959	noitaimuevä			
		suku	Doumea	Sauvage, 1879				
			Doumea angolensis 	Boulenger, 1906	angolanimuevä			
		suku	Paramphilius	Pellegrin, 1907				
			Paramphilius firestonei 	Schultz, 1942	makkaraimuevä			
			Paramphilius trichomycteroides 	Pellegrin, 1907	nuoliaisimuevä			
		suku	Phractura	Boulenger, 1900				
			Phractura ansorgii 	Boulenger, 1902 	punaimuevä			
			Phractura bovei 	(Perugia, 1892)	panssari-imuevä			
			Phractura brevicauda 	Boulenger, 1911	mosaiikki-imuevä			
			Phractura clauseni 	Daget & Stauch, 1963	suklaaimuevä			
			Phractura fasciata 	Boulenger, 1920	vanneimuevä			
			Phractura intermedia 	Boulenger, 1911	raitaimuevä			
			Phractura longicauda 	Boulenger, 1903	soukkaimuevä			
			Phractura macrura 	Poll, 1967	kameruninimuevä			
		suku	Tetracamphilius	Roberts, 2003				
			Tetracamphilius notatus 	(Nichols & Griscom, 1917)	laikkuimuevä			
		suku	Zaireichthys	Roberts, 1968				
			Zaireichthys mandevillei 	(Poll, 1959)	kongonimuevä	tansanianimuevä		
			Zaireichthys rotundiceps 	(Hilgendorf, 1905) 	pantteri-imuevä			
			Zaireichthys wamiensis 	(Seegers, 1989)	ruutuimuevä			
			Zaireichthys zonatus 	Roberts, 1967	vyöimuevä			
MX.5086500		heimo	Malapteruridae		sähkömonnit			
		suku	Malapterurus	Lacepède, 1803				
			Malapterurus electricus 	(Gmelin, 1789) 	sähkömonni			
MX.5086502		heimo	Claroteidae		kissamonnit			
		alaheimo	Claroteinae					
		suku	Auchenoglanis	Günther, 1865				
			Auchenoglanis biscutatus	(Geoffroy Saint-Hilaire, 1809)	ruskokissamonni			
			Auchenoglanis occidentalis 	(Valenciennes, 1840) 	täpläkissamonni			
		suku	Notoglanidium	Günther, 1903				
			Notoglanidium boutchangai 	(Thys van den Audenaerde, 1965)	gaboninkissamonni			
			Notoglanidium depierrei 	(Daget, 1979)	ankeriaskissamonni			
			Notoglanidium macrostoma 	(Pellegrin, 1909) 	kirjokissamonni			
			Notoglanidium pallidum 	Roberts & Stewart, 1976	rusokissamonni			
			Notoglanidium walkeri 	Günther, 1903	huulikissamonni			
		suku	Parauchenoglanis	Boulenger, 1911				
			Parauchenoglanis balayi 	(Sauvage, 1879)	kaitakissamonni			
			Parauchenoglanis buettikoferi 	(Popta, 1913)	nigerinkissamonni			
			Parauchenoglanis monkei 	(Keilhack, 1910) 	laikkukissamonni			
			Parauchenoglanis ngamensis 	(Boulenger, 1911) 	pilkkukissamonni			
			Parauchenoglanis pantherinus 	(Pellegrin, 1929)	pantterikissamonni			
		alaheimo	Auchenoglanidinae					
		suku	Chrysichthys	Bleeker, 1858				
			Chrysichthys auratus 	(Geoffroy Saint-Hilaire, 1809)	kultakissamonni			
			Chrysichthys brachynema 	Boulenger, 1900 	järvikissamonni			
			Chrysichthys brevibarbis 	(Boulenger, 1899)	teleskooppikissamonni			
			Chrysichthys furcatus 	Günther, 1864	harmaakissamonni			
			Chrysichthys helicophagus 	Roberts & Stewart, 1976	kotilokissamonni			
			Chrysichthys longipinnis 	(Boulenger, 1899) 	alumiinikissamonni			
			Chrysichthys maurus 	(Valenciennes, 1840)	purjekissamonni			
			Chrysichthys nigrodigitatus 	(Lacépède, 1803) 	korentokissamonni			
			Chrysichthys ornatus 	Boulenger, 1902 	korukissamonni			
			Chrysichthys walkeri 	Günther, 1899	kaunokissamonni			
		suku	Clarotes	Kner, 1855				
			Clarotes laticeps 	(Rüppell, 1829) 	oliivikissamonni			
		suku	Gephyroglanis	Boulenger, 1899				
			Gephyroglanis congicus 	Boulenger, 1899	kongonkissamonni			
		suku	Lophiobagrus	Poll, 1942				
			Lophiobagrus cyclurus 	(Worthington & Ricardo, 1937)	tanganjikankissamonni	pikkutanganjikanmonni		
		suku	Pardiglanis	Poll, Lanza & Romoli Sassi, 1972				
			Pardiglanis tarabinii	Poll, Lanza & Romoli Sassi, 1972	nuijakissamonni			
		suku	Phyllonemus	Boulenger, 1906				
			Phyllonemus filinemus 	Worthington & Ricardo, 1937 	remmikissamonni			
			Phyllonemus typus 	Boulenger, 1906	viirikissamonni			
MX.5086503		heimo	Schilbeidae		kuultomonnit			
		suku	Eutropiichthys	Bleeker, 1862				
			Eutropiichthys burmannicus 	Day, 1877	burmanlohimonni			
			Eutropiichthys goongwaree 	Sykes, 1839	lohimonni			
			Eutropiichthys murius 	Hamilton, 1822	pikkulohimonni			
			Eutropiichthys vacha 	Hamilton, 1822	hopealohimonni			
		suku	Parailia	Boulenger, 1899				
			Parailia congica 	Boulenger, 1899	kermakuultomonni			
			Parailia occidentalis 	(Pellegrin, 1901)	gaboninkuultomonni			
			Parailia pellucida 	(Boulenger, 1901) 	niilinkuultomonni			
			Parailia somalensis 	(Vinciguerra, 1897) 	somaliankuultomonni			
			Parailia spiniserrata 	Svensson, 1933	gambiankuultomonni			
		suku	Pareutropius	Regan, 1920				
			Pareutropius buffei 	(Gras, 1961)	nigeriankuultomonni			
			Pareutropius debauwi 	(Boulenger, 1900) 	kongonkuultomonni			
			Pareutropius longifilis 	(Steindachner, 1914)	tansaniankuultomonni			
			Pareutropius mandevillei 	Poll, 1959	pikkukuultomonni			
		suku	Schilbe	Oken, 1817				
			Schilbe brevianalis 	(Pellegrin, 1929)	ruskokuultomonni			
			Schilbe congensis 	(Leach, 1818)	tinakuultomonni			
			Schilbe durinii 	(Gianferrari, 1932)	tanganjikankuultomonni			
			Schilbe intermedius 	Rüppell, 1832 	hopeakuultomonni			
			Schilbe marmoratus 	Boulenger, 1911 	marmorikuultomonni			
			Schilbe mystus 	(Linnaeus, 1758) 	viherkuultomonni			
			Schilbe zairensis 	De Vos, 1995	juovakuultomonni			
		suku	Silonia	Swainson, 1838				
			Silonia silondia 	(Hamilton, 1822)	jättikuultomonni			
		suku	Siluranodon	Bleeker, 1858				
			Siluranodon auritus	(Geoffroy Saint-Hilaire, 1809)	raitakuultomonni			
MX.5086501		heimo	Mochokidae		ripsimonnit			
		alaheimo	Chiloglanidinae		ripsumonnit			
		suku	Chiloglanis	Peters, 1868	ripsumonnit			
			Chiloglanis asymetricaudalis 	De Vos, 1993	ruandanripsumonni			
			Chiloglanis batesii 	Boulenger, 1904	nigerinripsumonni			
			Chiloglanis cameronensis 	Boulenger, 1904	kameruninripsumonni			
			Chiloglanis deckenii 	Peters, 1868	tansanianripsumonni			
			Chiloglanis neumanni 	Boulenger, 1911	kongonripsumonni			
			Chiloglanis niger 	Roberts, 1989	nigerinripsumonni			
			Chiloglanis niloticus 	Boulenger, 1900	niilinripsumonni			
			Chiloglanis reticulatus 	Roberts, 1989	verkkoripsumonni			
			Chiloglanis rukwaensis 	Seegers, 1996	rukwanripsumonni			
			Chiloglanis voltae 	Daget & Stauch, 1963	voltanripsumonni			
		alaheimo	Mochokinae		ripsimonnit			
		suku	Acanthocleithron	Nichols & Griscom, 1917				
			Acanthocleithron chapini 	Nichols & Griscom, 1917	vaivaisripsimonni			
		suku	Microsynodontis 	Boulenger, 1903	hapsumonnit			
			Microsynodontis armatus 	Ng, 2004	piikkihapsumonni			
			Microsynodontis batesii 	Boulenger, 1903	kimalaishapsumonni	vähäripsimonni		
			Microsynodontis emarginata 	Ng, 2004	lovihapsumonni			
			Microsynodontis hirsuta 	Ng, 2004	arvahapsumonni			
			Microsynodontis laevigata 	Ng, 2004	silohapsumonni			
			Microsynodontis nasutus 	Ng, 2004	kuonohapsumonni			
			Microsynodontis notata 	Ng, 2004	laikkuhapsumonni			
			Microsynodontis polli 	Lambert, 1958	pilkkuhapsumonni			
		suku	Mochokiella	Howes, 1980				
			Mochokiella paynei 	Howes, 1980	kääpiöripsimonni			
		suku	Mochokus	Joannis, 1835				
			Mochokus niloticus 	Joannis, 1835	pikkuripsimonni			
		suku	Synodontis	Cuvier, 1816	ripsimonnit			
			Synodontis acanthomias 	Boulenger, 1899	isoripsimonni			
			Synodontis afrofischeri 	Hilgendorf, 1888	mokkaripsimonni			
			Synodontis alberti 	Schilthuis, 1891	siimaripsimonni			
			Synodontis angelicus 	Schilthuis, 1891	helmiripsimonni			
			Synodontis batesii 	Boulenger, 1907	vähäripsimonni			
			Synodontis batensoda 	(Rüppell, 1832) 	sulkaviiksimonni			
			Synodontis brichardi 	Poll, 1959	seepraripsimonni			
			Synodontis budgetti 	Boulenger, 1911	suklaaripsimonni			
			Synodontis camelopardalis 	Poll, 1971	kirahviripsimonni			
			Synodontis caudalis 	Boulenger, 1899	piiskaripsimonni			
			Synodontis caudovittatus 	Boulenger, 1901	nokiripsimonni			
			Synodontis centralis 	Poll, 1971	koukeroripsimonni			
			Synodontis clarias 	(Linnaeus, 1758)	oliiviripsimonni			
			Synodontis congicus 	Poll, 1971	kongonripsimonni			
			Synodontis contractus 	Vinciguerra, 1928	kuonoselkäuimari			
			Synodontis courteti 	Pellegrin, 1906	nigerinripsimonni			
			Synodontis decorus 	Boulenger, 1899	koruripsimonni			
			Synodontis dhonti 	Boulenger, 1917	jymyripsimonni			
			Synodontis eburneensis 	Daget, 1965	hopearipsimonni			
			Synodontis eupterus 	Boulenger, 1901	sulkaripsimonni			
			Synodontis filamentosus 	Boulenger, 1901	laahusripsimonni			
			Synodontis flavitaeniatus 	Boulenger, 1919	aaltoripsimonni			
			Synodontis frontosus 	Vaillant, 1895	sudaninripsimonni			
			Synodontis gambiensis 	Günther, 1864	gambianripsimonni			
			Synodontis grandiops 	Wright & Page, 2006	pikkukäkimonni			
			Synodontis granulosus 	Boulenger, 1900	nukkaripsimonni			
			Synodontis grenshoffi 	Schilthuis, 1891	kuvioripsimonni			
			Synodontis ilebrevis 	Wright & Page, 2006	mustatäpläripsimonni	pippuriripsimonni		
			Synodontis irsacae 	Matthes, 1959	oselottiripsimonni			
			Synodontis khartoumensis	Gideiri, 1967	niilinripsimonni			
			Synodontis koensis 	Pellegrin, 1933	harlekiiniripsimonni			
			Synodontis leopardinus 	Pellegrin, 1914	leopardiripsimonni			
			Synodontis longirostris 	Boulenger, 1902	kuonoripsimonni			
			Synodontis lucipinnis 	Wright & Page, 2006	laikkuripsimonni			
			Synodontis macrops 	Greenwood, 1963	ugandanripsimonni			
			Synodontis macrostigma 	Boulenger, 1911	pisteripsimonni			
			Synodontis macrostoma 	Skelton & White, 1990	namibianripsimonni			
			Synodontis marmoratus 	Lönnberg, 1895	marmoriripsimonni			
			Synodontis melanostictus 	Boulenger, 1906	pippuriripsimonni	pantteriripsimonni		
			Synodontis membranaceus 	(Geoffroy St. Hilaire, 1809) 	kalvoviiksimonni			
			Synodontis multipunctatus	Boulenger, 1898	käkimonni			
			Synodontis nebulosus 	Peters, 1852	sumuripsimonni			
			Synodontis nigrita 	Valenciennes, 1840	ruskoripsimonni			
			Synodontis nigriventris 	David, 1936	selkäuimari			
			Synodontis nigromaculatus 	Boulenger, 1905	mustapilkkuripsimonni	pantteriripsimonni		
			Synodontis njassae 	Keilhack, 1908	malawinripsimonni	njassanripsimonni		
			Synodontis notatus 	Vaillant, 1893	täpläripsimonni			
			Synodontis nummifer 	Boulenger, 1899	pariripsimonni			
			Synodontis obesus 	Boulenger, 1898	guineanripsimonni			
			Synodontis ocellifer 	Boulenger, 1900	rengasripsimonni			
			Synodontis omias 	Günther, 1864	nigerinripsimonni			
			Synodontis ornatipinnis 	Boulenger, 1899	kaunoripsimonni			
			Synodontis pardalis 	Boulenger, 1908	pantteriripsimonni	laikkuripsimonni		
			Synodontis petricola 	Matthes, 1959	kivikkoripsimonni	pikkukäkimonni		
			Synodontis pleurops 	Boulenger, 1897	saksiripsimonni			
			Synodontis polli 	Gosse, 1982	kultaripsimonni			
			Synodontis polystigma 	Boulenger, 1915	seularipsimonni			
			Synodontis pulcher 	Poll, 1971	somaripsimonni			
			Synodontis rebeli 	Holly, 1926	luomiripsimonni			
			Synodontis resupinatus 	Boulenger, 1904	nauharipsimopnni			
			Synodontis ricardoae 	Seegers, 1996	pilkkuripsimonni			
			Synodontis robbianus 	Smith, 1875	tummaripsimonni			
			Synodontis robertsi 	Poll, 1974	verkkoripsimonni			
			Synodontis rukwaensis 	Hilgendorf & Pappenheim, 1903	rukwanripsimonni			
			Synodontis schall 	(Bloch & Schneider, 1801)	harmaaripsimonni			
			Synodontis schoutedeni 	David, 1936	sokkeloripsimonni			
			Synodontis soloni 	Boulenger, 1899	kirjoripsimonni			
			Synodontis tanganyicae 	Borodin, 1936	tanganjikanripsimonni			
			Synodontis vanderwaali 	Skelton & White, 1990	okavangonripsimonni			
			Synodontis velifer 	Norman, 1935	purjeripsimonni			
			Synodontis victoriae 	Boulenger, 1906	victorianripsimonni			
			Synodontis voltae 	Roman, 1975	voltanripsimonni			
			Synodontis waterloti 	Daget, 1962	ghananripsimonni			
			Synodontis xiphias 	Günther, 1864	nokkaripsimonni			
			Synodontis zambezensis 	Peters, 1852	liilaripsimonni			
MX.5086465		alalahko	Loricaroidei					
MX.5086466		heimo	Nematogenyidae		puikkomonnit			
		suku	Nematogenys	Girard, 1855				
			Nematogenys inermis 	(Guichenot, 1848)	puikkomonni 			
MX.5086467		heimo	Trichomycteridae		loismonnit			
		alaheimo	Sarcoglanidinae					
		suku	Ammoglanis	Costa, 1994				
			Ammoglanis diaphanus 	Costa, 1994	hietamatomonni			
			Ammoglanis pulex 	de Pinna & Winemiller, 2000	kääpiömatomonni			
		suku	Malacoglanis	Myers & Weitzman, 1966				
			Malacoglanis gelatinosus	Myers & Weitzman, 1966	vaivaisluikeromonni			
		suku	Sarcoglanis	Myers & Weitzman, 1966				
			Sarcoglanis simplex	Myers & Weitzman, 1966	kääpiöluikeromonni			
		suku	Stauroglanis	de Pinna, 1989				
			Stauroglanis gouldingi	de Pinna, 1989	hentoluikeromonni			
		alaheimo	Trichomycterinae					
		suku	Bullockia	Arratia, Chang, Menu-Marque & Rojas, 1978				
			Bullockia maldonadoi	(Eigenmann, 1928)	kirjoluikeromonni			
		suku	Eremophilus	Humboldt, 1805				
			Eremophilus mutisii	Humboldt, 1805	koruluikeromonni			
		suku	Ituglanis	Costa & Bockmann, 1993				
			Ituglanis amazonicus 	(Steindachner, 1882)	amazoninluikeromonni			
			Ituglanis metae 	(Eigenmann, 1917)	jaguaariluikeromonni	vuoristoluikeromonni		
		suku	Scleronema	Eigenmann, 1917				
			Scleronema operculatum 	Eigenmann, 1917	piikkiluikeromonni			
		suku	Trichomycterus	Valenciennes, 1832				
			Trichomycterus alterus 	(Marini Nichols & La Monte, 1933)	vastaluikeromonni			
			Trichomycterus areolatus 	Valenciennes, 1846	chilenluikeromonni			
			Trichomycterus brasiliensis	Lütken, 1874	pisteluikeromonni			
			Trichomycterus candidus 	(Miranda-Ribeiro, 1949)	marmoriluikeromonni			
			Trichomycterus castroi 	de Pinna, 1992	leopardiluikeromonni			
			Trichomycterus corduvensis 	Weyenbergh (de), 1877	argentiinanluikeromonni			
			Trichomycterus guianensis 	(Eigenmann, 1909)	pisamaluikeromonni			
			Trichomycterus immaculatus 	(Eigenmann & Eigenmann, 1889)	saviluikeromonni			
			Trichomycterus itatiayae 	Miranda-Ribeiro, 1906	raitaluikeromonni			
			Trichomycterus nigricans 	Valenciennes, 1832	tummaluikeromonni			
			Trichomycterus ramosus 	Fernández, 2000	pulskaluikeromonni			
			Trichomycterus vermiculatus 	(Eigenmann, 1917)	sokkeloluikeromonni			
		alaheimo	Copionodontinae					
		suku	Copionodon	de Pinna, 1992				
			Copionodon lianae 	Campanario & de Pinna, 2000	tuhkaluikeromonni			
			Copionodon orthiocarinatus 	de Pinna, 1992	pikkuluikeromonni			
			Copionodon pecten 	de Pinna, 1992	kampaluikeromonni			
		alaheimo	Trichogeninae					
		suku	Trichogenes	Britski & Ortega, 1983				
			Trichogenes longipinnis 	Britski & Ortega, 1983	pantteriluikeromonni			
		alaheimo	Vandelliinae					
		suku	Paravandellia	Miranda Ribeiro, 1912				
			Paravandellia oxyptera 	Miranda-Ribeiro, 1912 	suomuloismonni			
		suku	Vandellia	Valenciennes, 1846				
			Vandellia beccarii 	di Caporiacco, 1935	nuoliloismonni			
			Vandellia cirrhosa 	Valenciennes, 1846 	loismonni			
			Vandellia sanguinea 	Eigenmann, 1917	veriloismonni			
		alaheimo	Stegophilinae					
		suku	Haemomaster	Myers, 1927				
			Haemomaster venezuelae	Myers, 1927	orinoconloismonni			
		suku	Henonemus	Eigenmann & Ward, 1907				
			Henonemus punctatus 	(Boulenger, 1887)	mutaloismonni			
		suku	Homodiaetus	Eigenmann & Ward, 1907				
			Homodiaetus anisitsi 	Eigenmann & Ward, 1907	nauhaloismonni			
		suku	Megalocentor	de Pinna & Britski, 1991				
			Megalocentor echthrus	de Pinna & Britski, 1991	pulskaloismonni			
		suku	Ochmacanthus	Eigenmann, 1912				
			Ochmacanthus alternus 	Myers, 1927	kuvioloismonni			
			Ochmacanthus flabelliferus 	Eigenmann, 1912	kuultoloismonni			
			Ochmacanthus orinoco 	Myers, 1927	linjaloismonni			
			Ochmacanthus reinhardtii 	(Steindachner, 1882)	limaloismonni			
		suku	Pseudostegophilus	Eigenmann & Eigenmann, 1889				
			Pseudostegophilus nemurus 	(Günther, 1869)	jaguaariloismonni			
		suku	Stegophilus	Reinhardt, 1859				
			Stegophilus insidiosus 	Reinhardt, 1859	kidusloismonni			
		suku	Tridensimilis	Schultz, 1944				
			Tridensimilis brevis 	(Eigenmann & Eigenmann, 1889)	töpöloismonni			
		alaheimo	Tridentinae					
		suku	Tridentopsis	Myers, 1925				
			Tridentopsis cahuali 	Azpelicueta, 1990	kituluikeromonni			
			Tridentopsis pearsoni 	Myers, 1925	parananluikeromonni			
		alaheimo	Glanaperyginae					
		suku	Glanapteryx	Myers, 1927				
			Glanapteryx anguilla 	Myers, 1927	matomonni			
		suku	Listrura	de Pinna, 1988				
			Listrura camposi 	Miranda-Ribeiro, 1957	narumatomonni			
			Listrura nematopteryx 	de Pinna, 1988	nauhamatomonni			
		suku	Typhlobelus	Myers, 1944				
			Typhlobelus ternetzi 	Myers, 1944	pikkumatomonni			
