TaxonID	rank	taxon	author	vernacularFI	obsoleteFI	informalgroup	
	suku	Tahuantinsuyoa	Kullander, 1986				
		Tahuantinsuyoa macantzatza	Kullander, 1986	safiirikirjoahven		MVL.1285	
MX.5105985	tribe	Heroini					
MX.5089993	suku	Amatitlania	Schmitter-Soto, 2007				
		Amatitlania altoflava 	(Allgayer, 2001)	kuutamokirjoahven		MVL.1285	
		Amatitlania coatepeque 	Schmitter-Soto, 2007	tummaseepra-ahven		MVL.1285	
		Amatitlania kanna	Schmitter-Soto, 2007	keltaseepra-ahven		MVL.1285	
		Amatitlania myrnae 	(Loiselle, 1997)	topaasikirjoahven		MVL.1285	
		Amatitlania nanolutea	(Allgayer, 1994)	keltakylkikirjoahven		MVL.1285	
MX.5089994		Amatitlania nigrofasciata 	(Günther, 1867)	seeprakirjoahven		MVL.1285	
		Amatitlania sajica 	(Bussing, 1974)	sinileukakirjoahven		MVL.1285	
		Amatitlania septemfasciata 	(Regan, 1908)	sinisilmäkirjoahven		MVL.1285	
		Amatitlania siquia	Schmitter-Soto, 2007 	siniseepra-ahven		MVL.1285	
	suku	Amphilophus	Agassiz, 1859				
		Amphilophus amarillo 	Stauffer & McKaye, 2002	keltasitruuna-ahven		MVL.1285	
		Amphilophus astorquii	Stauffer, McCrary & Black, 2008	mustasitruuna-ahven		MVL.1285	
		Amphilophus chancho 	Stauffer, McCrary & Black, 2008	sikasitruuna-ahven		MVL.1285	
		Amphilophus citrinellus	(Günther, 1864)	sitruunakirjoahven		MVL.1285	
		Amphilophus flaveolus 	Stauffer, McCrary & Black, 2008	tiikerisitruuna-ahven		MVL.1285	
		Amphilophus globosus 	Geiger, McCrary & Stauffer, 2010	täpläsitruuna-ahven		MVL.1285	
		Amphilophus hogaboomorum	(Carr & Giovannoli, 1950)	hondurasinkirjoahven		MVL.1285	
		Amphilophus labiatus	(Günther, 1864)	huulikirjoahven		MVL.1285	
		Amphilophus lyonsi	(Gosse 1966)	oktaavikirjoahven		MVL.1285	
		Amphilophus margaritifer 	(Günther, 1862)	helmikylkikirjoahven		MVL.1285	
		Amphilophus sagittae 	Stauffer & McKaye, 2002	nuolisitruuna-ahven		MVL.1285	
		Amphilophus supercilius 	Geiger, McCrary & Stauffer, 2010	pyöröpyrstösitruuna-ahven		MVL.1285	
		Amphilophus tolteca 	Recknagel, Kusche, Elmer & Meyer, 2013	suippositruuna-ahven		MVL.1285	
		Amphilophus trimaculatus	(Günther, 1867)	punasilmäkirjoahven		MVL.1285	
		Amphilophus viridis 	Recknagel, Kusche, Elmer & Meyer, 2013	limettikirjoahven		MVL.1285	
		Amphilophus xiloaensis 	Stauffer & McKaye, 2002	xiloansitruuna-ahven		MVL.1285	
		Amphilophus zaliosus	(Barlow, 1976)	ulappakirjoahven		MVL.1285	
	suku	Archocentrus	Gill, 1877				
		Archocentrus centrarchus	(Gill, 1877)	vihereväkirjoahven		MVL.1285	
	suku	Astatheros	Pellegrin, 1904				
		Astatheros macracanthus 	(Günther, 1864)	takaraitakirjoahven		MVL.1285	
MX.5089987	suku	Australoheros	Rícan & Kullander, 2006				
MX.5089988		Australoheros facetus 	(Jenyns, 1842)	kalterikirjoahven		MVL.1285	
