TaxonID	TaxonRank	ScientificName	Author	SpeciesID	SpeciesScientificName	SpeciesAuthor	VernacularFI	AlternativeFI	VernacularEN
		Dysomma	Alcock, 1889		Dysomma brevirostre 	(Facciolà, 1887)	töpökuonopetoankerias		pig-nosed arrowtooth eel
		Histiobranchus	Gill, 1883		Histiobranchus bathybius 	(Günther, 1877)	syvännepetoankerias	naskalipetoankerias	
		Ilyophis	Gilbert, 1891		Ilyophis arx 	Robins, 1976			
		Ilyophis			Ilyophis blachei 	Saldanha & Merrett, 1982			
		Ilyophis			Ilyophis brunneus 	Gilbert, 1891	mutapetoankerias		muddy arrowtooth eel
		Simenchelys	Gill, 1879		Simenchelys parasitica 	Gill, 1879	loispetoankerias	töppöankerias	
		Synaphobranchus	Johnson, 1862		Synaphobranchus affinis 	Günther, 1877	harmaapetoankerias		
		Synaphobranchus			Synaphobranchus brevidorsalis 	Günther, 1887	lyhyteväpetoankerias		Shortdorsal cutthroat eel
		Synaphobranchus			Synaphobranchus kaupii	Johnson, 1862	petoankerias		
MX.5086377	heimo 	Heterenchelyidae							
		Panturichthys	Pellegrin, 1913		Panturichthys fowleri 	(Ben–Tuvia, 1953)	rusomuta-ankerias		
MX.5086379	heimo 	Muraenidae							
		Anarchias	Jordan & Starks, 1906		Anarchias euryurus 	(Lea, 1913)	ruostemureena		
		Enchelycore	Kaup, 1856		Enchelycore anatina 	(Lowe, 1838)	torahammasmureena		
		Gymnothorax	Bloch, 1795		Gymnothorax bacalladoi 	Böhlke & Brito, 1987	kanarianmureena		Canary moray
		Gymnothorax			Gymnothorax unicolor 	(Delaroche, 1809)	ruskomureena		
		Gymnothorax			Gymnothorax vicinus 	(Castelnau, 1855)	purppurakuonomureena	valkomustamureena	purplemouth moray
		Muraena	Linnaeus, 1758		Muraena helena 	Linnaeus, 1758	mureena		
MX.5086380	heimo 	Chlopsidae							
		Chlopsis	Rafinesque, 1810		Chlopsis bicolor 	Rafinesque, 1810	valkovatsamureena		bicolor eel
MX.5086382	heimo 	Derichthyidae							
		Derichthys	Gill, 1884		Derichthys serpentinus 	Gill, 1884	serpentiiniankerias		
		Nessorhamphus	Schmidt, 1931		Nessorhamphus ingolfianus	(Schmidt, 1912)	ankannokka-ankerias	pitkäkaula-ankerias	duckbill oceanic eel
MX.5086383	heimo 	Ophichthidae							
		Apterichtus	Duméril, 1806		Apterichtus anguiformis 	(Peters, 1877)	nauhakäärmeankerias		slender finless eel
		Apterichtus			Apterichtus caecus 	(Linnaeus, 1758)	rupikäärmeankerias		
		Dalophis	Rafinesque, 1810		Dalophis imberbis 	(Delaroche, 1809)	silokäärmeankerias		armless snake eel
		Echelus	Rafinesque, 1810		Echelus myrus 	(Linnaeus, 1758)	kaivurikäärmeankerias		
		Mystriophis	Kaup, 1856		Mystriophis crosnieri 	Blache, 1971	mutakäärmeankerias		
		Ophichthus	Ahl, 1789		Ophichthus maculatus 	(Rafinesque, 1810)	italiankäärmeankerias		
		Ophichthus			Ophichthus ophis 	(Linnaeus, 1758)	käärmeankerias		
		Ophichthus			Ophichthus rufus 	(Rafinesque, 1810)	okrakäärmeankerias		
		Ophisurus	Lacepède, 1800		Ophisurus serpens 	(Linnaeus, 1758)	nauhakäärmeankerias		serpent eel
		Pisodonophis	Kaup, 1856		Pisodonophis semicinctus 	(Richardson, 1848)	satulakäärmeankerias		
MX.5086384	heimo 	Muraenesocidae							
		Cynoponticus	Costa, 1845		Cynoponticus ferox 	Costa, 1846	afrikanhaukiankerias		Guinean pike conger
		Muraenesox	McClelland, 1844		Muraenesox cinereus 	(Forsskål, 1775)	hopeahaukiankerias		
MX.5086385	heimo 	Nettastomatidae							
		Facciolella	Whitley, 1938		Facciolella oxyrhynchus 	(Bellotti, 1883)	nokkavelhoankerias		
		Nettastoma	Rafinesque, 1810		Nettastoma melanurum 	Rafinesque, 1810	mustaevävelhoankerias		
		Saurenchelys	Peters, 1864		Saurenchelys cancrivora 	Peters, 1864	siimavelhoankerias		
		Venefica	Jordan & Davis, 1891		Venefica proboscidea 	(Vaillant, 1888)	piiskavelhoankerias		whipsnout sorcerer
MX.53113	heimo 	Congridae							
		Ariosoma	Swainson, 1838		Ariosoma balearicum 	(Delaroche, 1809)	harjahammasankerias		bandtooth conger
MX.53328		Conger	Bosc, 1817	MX.53114	Conger conger 	(Linnaeus, 1758)	meriankerias		
		Gnathophis	Kaup, 1859		Gnathophis codoniphorus 	Maul, 1972	azorienankerias		
		Gnathophis			Gnathophis mystax 	(Delaroche, 1809)	mustaeväankerias		thinlip conger
		Heteroconger	Bleeker, 1868		Heteroconger longissimus 	Günther, 1870	ruskoputkiankerias		brown garden eel
		Paraconger	Kanazawa, 1961		Paraconger macrops 	(Günther, 1870)	täpläeväankerias		blackspot conger
		Pseudophichthys	Roule, 1915		Pseudophichthys splendens 	(Lea, 1913)	purppurasuuankerias		purplemouthed conger
		Rhynchoconger	Jordan & Hubbs, 1925		Rhynchoconger trewavasae 	Ben–Tuvia, 1993	kuonomeriankerias		
MX.5086387	heimo 	Nemichthyidae							
		Avocettina	Jordan & Davis, 1891		Avocettina infans 	(Günther, 1878)	avosettiankerias		
		Nemichthys	Richardson, 1848		Nemichthys curvirostris 	(Strömman, 1896)	kalvasnokka-ankerias		boxer snipe-eel
		Nemichthys			Nemichthys scolopaceus 	Richardson, 1848	nokka-ankerias		
MX.5086388	heimo 	Serrivomeridae							
		Serrivomer	Gill & Ryder, 1883		Serrivomer beanii	Gill & Ryder, 1883	vankkakuonoankerias		stout sawpalate
MX.53110	heimo 	Anguillidae							
MX.53111		Anguilla	Schrank, 1798	MX.53112	Anguilla anguilla 	(Linnaeus, 1758)	ankerias		
MX.5086390	heimo 	Cyematidae							
		Cyema	Günther, 1878		Cyema atrum 	Günther, 1878	nuoliankerias		
MX.5086393	heimo 	Eurypharyngidae							
		Eurypharynx	Vaillant, 1882		Eurypharynx pelecanoides 	Vaillant, 1882	pelikaaniankerias		
MX.5086394	heimo 	Saccopharyngidae							
		Saccopharynx	Mitchill, 1824		Saccopharynx ampullaceus 	(Harwood, 1827)	ahmattiankerias		
		Saccopharynx			Saccopharynx hjorti 	Bertin, 1938			
		Saccopharynx			Saccopharynx ramosus 	Nielsen & Bertelsen, 1985	ripsuahmattiankerias		
		Saccopharynx			Saccopharynx thalassa 	Nielsen & Bertelsen, 1985	pasaatiahmattiankerias		hairytail swallower eel
		Saccopharynx			Saccopharynx trilobatus 	Nielsen & Bertelsen, 1985			
MX.5086405	heimo	Spratelloididae							
		Spratelloides	Bleeker, 1851		Spratelloides delicatulus 	(Bennett, 1832)	pyöröhaili		
MX.53099	heimo 	Clupeidae							
MX.53295	suku	Alosa	Linck, 1790				täpläsillit		
MX.53295		Alosa			Alosa agone 	(Scopoli, 1786)	alppisilli		
MX.53295		Alosa			Alosa algeriensis 	Regan, 1916	algeriansilli		
MX.53295		Alosa		MX.53106	Alosa alosa 	(Linnaeus, 1758)	pilkkusilli		Allis shad
MX.53295		Alosa			Alosa caspia 	(Eichwald, 1838)	kaspiansilli		
MX.53295		Alosa			Alosa curensis 	(Suvorov, 1907)	kuransilli		
