TaxonID	TaxonRank	ScientificName	Author	ParentTaxonID	ParentScientificName	VernacularFI	AlternativeFI	ColloquialVernacularNameFI		#NOTES
		Aechmea fasciata	(Lindl.) Baker		Aechmea	kirjohuisku				
	suku	Aegonychon	Gray	MX.39397	Boraginaceae	asuurirusojuuret				
		Aegonychon purpurocaeruleum	(L.) Holub		Aegonychon	mattorusojuuri				
	suku	Aeschynanthus	Jack	MX.4986600	Gesneriaceae	soihtuköynnökset				
		Aeschynanthus pulcher	(Blume) G.Don		Aeschynanthus 	somasoihtuköynnös	pikkusoihtuköynnös			
		Agapanthus praecox	Willd.	MX.4971534	Agapanthus	tarhasinisarja				
	suku	Aizoon	L.	MX.38020	Aizoaceae	nappipäivikit				
		Aizoon canariense	L.		Aizoon	tassupäivikki				
		Albuca donaldsonii	Rendle	MX.5009095	Albuca	kenianlyhdykki				
		Allamanda cathartica	L.	MX.5023061	Allamanda	köynnöskustaankukka				
		Alpinia purpurata	(Vieill.) K.Schum.	MX.5023655	Alpinia	punagalangajuuri				
	suku	Alstroemeria	L.	MX.4986376	Alstroemeriaceae	inkaliljat				
		Alstroemeria angustifolia	Herb.		Alstroemeria	roosainkalilja				
		Alstroemeria psittacina	Lehm.		Alstroemeria	araninkalilja				
	suku	Amborella	Baill.	MX.4986324	Amborellaceae	amborellat				
		Amborella trichopoda	Baill.		Amborella	amborella				
		Anigozanthos flavidus	Redouté	MX.5023369	Anigozanthos	keltakenguruntassu	kengurantassu			
		Asclepias curassavica	L.	MX.4971296	Asclepias	punasilkkiyrtti				
		Avicennia alba	Blume	MX.5009067	Avicennia	indonesianmustamangrove	mustamangrove			
		Avicennia germinans	(L.) L.	MX.5009067	Avicennia	amerikanmustamangrove				
	suku	Baloskion	Raf.	MX.4986406	Restionaceae	vihviöt				
		Baloskion tetraphyllum	(Labill.) B.G.Briggs & L.A.S.Johnson		Baloskion	tupsuvihviö				
	suku	Beaucarnea 	Lem.	MX.39977	Asparagaceae	pullojukat				
